"","Sample","depth","ring","treatment","plant","bulkdensity","drywt","lf_final","hf_final","lf_perC","lf_isoC","lf_perN","lf_isoN","hf_perC","hf_isoC","hf_perN","hf_isoN","soc_perC","soc_isoC","lf_mgCgsoil","lf_gCm2","lf_mgNgsoil","lf_gNm2","lf_CN","hf_mgCgsoil","hf_gCm2","hf_mgNgsoil","hf_gNm2","hf_CN","ws_mgCgsoil","ws_gCm2","sum_frac","dif_soc","per_recovery"
"1",145,"0","1","elevated","LATR",1701998.865,25.01,0.067,24.769,17.57315876,-23.24194388,1.263424322,5.501760434,0.15,-26.67,0.016287,6.3104878,0.442535625,-24.42249578,0.470772345829668,80.1253998275483,0.0338462333362655,5.7606250722849,13.9091502783338,1.48554578168732,252.839723433736,0.16130056097561,27.4533371704351,9.20979922637687,4.42535625,753.195131472066,1.95631812751699,2.46903812248301,55.7929798868285
"2",151,"0","2","elevated","LATR",1701998.865,25.041,0.087,24.669,17.67352121,-23.19487711,1.261660492,5.099185384,0.13,-27.5,0.0230863,9.0445788,0.264369092,-25.34038474,0.614031526404696,104.508096101501,0.0438338975296514,7.46052438439929,14.0081434919023,1.28068767221756,217.972896453378,0.227433383131664,38.7091359953202,5.63104525194596,2.64369092,449.955894525081,1.89471919862226,0.748971721377741,28.3305327302687
"3",157,"0","3","elevated","LATR",1701998.865,25.005,0.075,24.713,21.13682636,-23.54505383,1.587422817,5.361469128,0.13,-27.79,0.0190284,6.9585351,0.257921353,-24.49223483,0.63397799520096,107.902982826701,0.0476131618776245,8.10375474747781,13.3151836635091,1.28481903619276,218.676054133047,0.188061927294541,32.0081186805022,6.83189338042085,2.57921353,438.981850065264,1.91879703139372,0.660416498606279,25.6053440680531
"4",163,"0","4","ambient","LATR",1701998.865,25.004,0.355,24.586,8.957445874,-21.51741768,0.64913302,6.170685643,0.24,-23.98,0.0289347,9.1382639,0.61262137,-23.56968051,1.27175383349464,216.452358116728,0.0921621428971364,15.6859862606894,13.7990914004036,2.35987841945289,401.651039144681,0.284509892097264,48.4235513430816,8.29453908283134,6.1262137,1042.68087641475,3.63163225294753,2.49458144705247,40.7197915255955
"5",169,"0","5","ambient","LATR",1701998.865,25.022,0.102,24.61,18.72096997,-21.84029568,1.417161685,5.113417835,0.17,-26.81,0.0195183,9.8386616,0.545864096,-23.13599022,0.763144008048917,129.887023553081,0.0577693597114539,9.83233846606713,13.210186366279,1.67200863240349,284.575679462093,0.191969212293182,32.673138143794,8.70977492916904,5.45864096,929.060071836251,2.4351526404524,3.0234883195476,55.3890307441579
"6",175,"0","6","ambient","LATR",1701998.865,25.024,0.056,24.761,14.503474,-22.36556075,1.126593381,5.810807947,0.15,-28.16,0.0165061,9.4110917,0.412619249,-23.12263009,0.324566234015345,55.2411361911442,0.025211488705243,4.29099251612838,12.8737433084564,1.4842351342711,252.616651392253,0.163326223665281,27.7981047303045,9.08754945141493,4.12619249,702.277493475152,1.80880136828644,2.31739112171356,56.1629426482126
"7",109,"20","1","elevated","LATR",1499213.902,25.002,0.02,24.793,13.72552641,-22.45023377,1.106589592,6.972185172,0.1,-27.03,0.0138008,7.6398848,0.196975723,-23.79988578,0.109795427645788,16.4606831502601,0.00885200857531398,1.32710543167339,12.4034479532679,0.9916406687465,148.668147637333,0.136854345412367,20.5173937191331,7.24595675613008,1.96975723,295.308742278101,1.10143609639229,0.868321133607711,44.0826473629804
"8",115,"20","2","elevated","LATR",1499213.902,25,0.107,24.594,8.031304655,-23.59743403,0.64221795,5.184436854,0.14,-25.17,0.0161278,8.0301202,0.217475336,-24.10819641,0.343739839234,51.5339545650858,0.02748692826,4.12087849706687,12.5055748675352,1.377264,206.481333552413,0.15865884528,23.7863546519043,8.68066320266868,2.17475336,326.042047073321,1.721003839234,0.453749520766,20.8644129082297
"9",121,"20","3","elevated","LATR",1499213.902,25.005,0.027,24.736,16.83666714,-21.07969679,1.425249057,5.74777852,0.12,-29.25,0.0114738,7.2496494,0.149790143,-24.44631041,0.181799645182963,27.2556555436966,0.0153896118932214,2.3072320096702,11.8131403471611,1.18709058188362,177.97027032932,0.113503665986803,17.0166273975379,10.4586100507243,1.49790143,224.567464768168,1.36889022706659,0.129011202933413,8.61279656655465
"10",127,"20","4","ambient","LATR",1499213.902,25.069,0.081,24.726,19.39153452,-18.27640039,1.462949332,5.670516641,0.18,-24.18,0.0190801,7.8464892,0.280681799,-25.87337087,0.626556422721289,93.9342099331146,0.0472690956527983,7.08664853376429,13.2550964656375,1.77537197335354,266.166234367281,0.188190415493239,28.213768713062,9.43391282016342,2.80681799,420.80205509917,2.40192839607483,0.404889593925166,14.4252172876078
