"","plant","ring","treatment","lf_gCm2","lf_gNm2","hf_gCm2","hf_gNm2"
"1","LATR","1","elevated",244.455726779294,18.5155232630274,1129.03460891476,108.437696685391
"2","LATR","2","elevated",307.224467823713,20.8904782577718,992.67650056011,122.471829458533
"3","LATR","3","elevated",319.585032639727,24.6478253729653,1004.71909500678,109.288407804754
"4","LATR","4","ambient",495.409052850068,39.8339945934271,1217.70240242441,136.30048581994
"5","LATR","5","ambient",418.756038639024,30.7145520453751,1057.05138364352,116.56384666342
"6","LATR","6","ambient",491.628297619313,44.2513235816234,1047.58548383008,111.278799832771
