"","Sample","depth","ring","treatment","plant","bulkdensity","drywt","lf_final","hf_final","lf_perC","lf_13C","lf_perN","lf_isoN","hf_perC","hf_13C","hf_perN","hf_isoN","soc_perC","soc_isoC","per_recovery_wt","lf_frac","hf_frac","lf_mgCgsoil","lf_gCm2","lf_mgNgsoil","lf_gNm2","lf_CN","hf_mgCgsoil","hf_gCm2","hf_mgNgsoil","hf_gNm2","hf_CN","soc_mgCgsoil","soc_gCm2","sum_frac_C","soc_recovery","lf_pertotC","hf_pertotC","sum_frac_N","lf_pertotN","hf_pertotN"
"1",150,"0","1","elevated","INSP",1701998.865,25.012,0.035,24.83,18.79348497,-23.66931008,1.3290715,4.400778668,0.14,-30.27,0.0222618,8.5686155,0.178610002,-28.30030103,99.4122821045898,0.139932832240525,99.2723492723493,0.262982557952183,44.7596015149412,0.0185980739245162,3.16539007107127,14.1403114655607,1.38981288981289,236.545996102391,0.220998118503119,37.6138546859443,6.28879964782722,1.78610002,303.994020681648,1.65279544776507,92.5365561423079,15.91137961493,84.08862038507,0.239596192427635,7.76225771206002,92.23774228794
"2",156,"0","2","elevated","INSP",1701998.865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",162,"0","3","elevated","INSP",1701998.865,25.01,0.06,24.91,17.48483036,-23.77097429,1.332683052,4.496339412,0.14,-25.99,0.0188963,6.4355879,0.149120925,-26.74747262,99.8400639744102,0.239904038384646,99.6001599360256,0.419468141383447,71.3934300538286,0.0319716046061575,5.44156347519089,13.1200215488296,1.39440223910436,237.327102830908,0.188207450219912,32.0328866658834,7.40885781872642,1.49120925,253.80364509775,1.8138703804878,121.637548887777,23.1255852620869,76.8744147379132,0.22017905482607,14.5207293361367,85.4792706638633
"4",168,"0","4","ambient","INSP",1701998.865,25.024,0.148,24.847,14.96384914,-23.49704573,1.339681476,7.41094211,0.12,-25.1,0.0149147,8.9731004,0.132228167,-26.65586994,99.8841112531969,0.591432225063939,99.292679028133,0.88501025923913,150.628645673836,0.0792330796227621,13.4854611588396,11.1697066863079,1.1915121483376,202.79523241043,0.14809205199009,25.2052504402653,8.04575351834097,1.32228167,225.05219015503,2.07652240757673,157.040852542161,42.6198270728957,57.3801729271043,0.227325131612852,34.8545183106727,65.1454816893273
"5",174,"0","5","ambient","INSP",1701998.865,25.066,0.041,24.792,14.53166944,-22.11610691,1.184316442,5.471262324,0.11,-25.58,0.0138617,12.8035477,0.126844761,-24.57785628,99.0704540014362,0.163568180004787,98.9068858214314,0.237691872273199,40.4551296828709,0.0193716484967685,3.2970523754679,12.270090091344,1.08797574403575,185.173348149637,0.137101757919094,23.3347036367802,7.93553460253793,1.26844761,215.889639253196,1.32566761630894,104.511026380423,17.9299750064804,82.0700249935196,0.156473406415862,12.3801538807714,87.6198461192286
"6",180,"0","6","ambient","INSP",1701998.865,25.009,0.046,24.88,16.08719357,-22.61313192,1.240351872,5.157131792,0.14,-26.86,0.016031,9.4684244,0.162377475,-24.09894709,99.6681194769883,0.183933783837818,99.4841856931505,0.295897838466152,50.3617785225344,0.0228142613107281,3.88298468566727,12.9698627729406,1.39277859970411,237.050759589268,0.15948309808469,27.1440051926825,8.73307965816231,1.62377475,276.366278151566,1.68867643817026,103.996963751916,17.5224709587805,82.4775290412195,0.182297359395418,12.5148610963926,87.4851389036074
"7",145,"0","1","elevated","LATR",1701998.865,25.01,0.067,24.769,17.57315876,-23.24194388,1.263424322,5.501760434,0.15,-26.67,0.016287,6.3104878,0.442535625,-24.42249578,99.3042782886845,0.267892842862855,99.0363854458217,0.470772345829668,80.1253998275483,0.0338462333362655,5.7606250722849,13.9091502783338,1.48554578168732,252.839723433736,0.16130056097561,27.4533371704351,9.20979922637687,4.42535625,753.195131472066,1.95631812751699,44.2070201131715,24.0642019929133,75.9357980070867,0.195146794311875,17.3439863337821,82.6560136662179
"8",151,"0","2","elevated","LATR",1701998.865,25.041,0.087,24.669,17.67352121,-23.19487711,1.261660492,5.099185384,0.13,-27.5,0.0230863,9.0445788,0.264369092,-25.34038474,98.8618665388762,0.347430214448305,98.5144363244279,0.614031526404696,104.508096101501,0.0438338975296514,7.46052438439929,14.0081434919023,1.28068767221756,217.972896453378,0.227433383131664,38.7091359953202,5.63104525194596,2.64369092,449.955894525081,1.89471919862226,71.6694672697313,32.4075212227325,67.5924787772675,0.271267280661315,16.1589327775874,83.8410672224126
"9",157,"0","3","elevated","LATR",1701998.865,25.005,0.075,24.713,21.13682636,-23.54505383,1.587422817,5.361469128,0.13,-27.79,0.0190284,6.9585351,0.257921353,-24.49223483,99.132173565287,0.2999400119976,98.8322335532894,0.63397799520096,107.902982826701,0.0476131618776245,8.10375474747781,13.3151836635091,1.28481903619276,218.676054133047,0.188061927294541,32.0081186805022,6.83189338042085,2.57921353,438.981850065264,1.91879703139372,74.3946559319469,33.0403885782786,66.9596114217214,0.235675089172166,20.2028827250563,79.7971172749437
"10",163,"0","4","ambient","LATR",1701998.865,25.004,0.355,24.586,8.957445874,-21.51741768,0.64913302,6.170685643,0.24,-23.98,0.0289347,9.1382639,0.61262137,-23.56968051,99.7480403135498,1.41977283634618,98.3282674772036,1.27175383349464,216.452358116728,0.0921621428971364,15.6859862606894,13.7990914004036,2.35987841945289,401.651039144681,0.284509892097264,48.4235513430816,8.29453908283134,6.1262137,1042.68087641475,3.63163225294753,59.2802084744045,35.0187944405013,64.9812055594987,0.376672034994401,24.4674768325996,75.5325231674004
