ring,treatment,plant,"Hexadecanoic acid, methyl ester (Palmitic acid-C16)",Toluene,"Phenol, 4-methyl-",Styrene,Benzyl nitrile,Monobenzone,Phenanthrene,Biphenyl,Phenol,Indole,3-Methylindole,"Pyrazolo[5,1-c][1,2,4]benzotriazin-8-ol",Pyridine,"Spiro[2.4]hepta-4,6-diene",Levoglucosan,Naphthalene,C9_H8,Aniline,Fluorene,3-Phenylpyridine,Ethylbenzene,"Benzene, 1,2,3-trimethyl-","Benzene, 1,2,3-trimethyl-","1-Butyne, 3,3-dimethyl-",Pyrrole,Pyridine 3-methyl
4,ambient,PLRI,0.1503238,0.1473827,0.0728744,0.0280713,0.0267315,0.0118625,0.006928,0.0046078,0.1101286,0.0160781,0.0108168,0.0082351,0.015686,0.0011274,0,0.0023398,0.0180062,0.0196075,0.0116338,0.0043136,0.0073855,0.0055554,0.0055554,0.01915,0,0.010588
4,ambient,LYPA,0.4841375,0.0002897,0.0497222,0.0295343,0.0159821,0.0119259,0.0049535,0.0004767,0.0515915,0.022618,0.0224311,0.0123184,0.0108043,0.0740226,0,0.0066919,0.009365,0.0117763,0.0087855,0.0134586,0.0119259,0.0030095,0.0030095,0.0080752,0.006505,0.0080565
4,ambient,LYAN,0.8521349,0.0038936,0.0204512,0.0039329,0.0063976,0.0012061,0.0089802,0.0012192,0.0265473,0.0128476,0.0079314,0.0058207,0,0.0010816,0,0.0064959,0.0015928,0,0.0086524,0.0014748,0,0.0020648,0.0020648,0,0.0028383,0
4,ambient,INSP,0.6180905,0.0057325,0.0078783,0.0171656,0.0115291,0.0058671,0.0013515,0.0021329,0.0513047,0.0261968,0.0142193,0.0530341,0,0,0,0.0015244,0,0,0.005502,0.0069815,0,0.0118494,0.0118494,0,0.0079423,0
5,ambient,LATR,0.6641677,0.0530631,0.0107883,0.0055874,0.0080473,0.0046386,0.0051306,0.0028359,0.0407637,0.0052009,0.0027234,0.0025266,0.0126157,0.0013389,0.007977,0.0116669,0.0059037,0.0050252,0.0054469,0.0028078,0.0135996,0.0065714,0.0065714,0.003349,0,0.0028113
5,ambient,AMDU,0.5633127,0.0128,0.0123538,0.0175687,0.0034301,0.0011963,0.000686,0.0004573,0,0.0060793,0.0038484,0.002719,0,0,0,0,0,0,0.0020218,0.0042109,0.0020859,0.0309543,0.0309543,0,0.0081708,0.0015059
5,ambient,PLRI,0.6420814,0.0408163,0.0355651,0.0042965,0.0099773,0.0063969,0.0060866,0.0044277,0.0676692,0.0076143,0.0041413,0.0054183,0.0055377,0.0025421,0,0.0014202,0.0041413,0.0055018,0.0058838,0.0072324,0.0066476,0.001468,0.001468,0.0015992,0.0049409,0.0018737
5,ambient,LYPA,0.5843916,0.0531431,0.0401769,0.0064648,0.0119618,0.0079806,0.0033603,0.0027393,0.0500385,0.0112678,0.0077432,0.0065014,0.0063187,0,0.0132949,0.0081267,0.0074327,0.0107382,0.0051317,0.0110304,0.0085467,0.0029585,0.0029585,0.0078345,0.0061909,0.0042734
5,ambient,LYAN,0.2902267,0.0773059,0.0751951,0.0065697,0.0194188,0.0174928,0.0055407,0.0029287,0.0857488,0.0427425,0.0377295,0.0316611,0.0079153,0,0,0.0072293,0.0102371,0.0099469,0.0121368,0.0179677,0.0025302,0.0037729,0.0037729,0.0102635,0.0026384,0.0075723
5,ambient,INSP,0.7341647,0.0182701,0.0142349,0.0393423,0.0017149,0.0024659,0.0002623,0.00026,0.0165888,0.0032505,0.0017037,0.0004562,0,0,0,0,0,0,0,0.0005414,0.0046292,0.0071175,0.0071175,0.0026116,0,0
6,ambient,LATR,0.3121186,0.0786149,0.0663252,0.0061253,0.0195074,0.0097147,0.0034918,0.0029456,0.0608631,0.036869,0.0314069,0.0277005,0.0070812,0,0.0067886,0.0070812,0.0113143,0.0017908,0.0074908,0.0094026,0.0110607,0.005189,0.005189,0.0080761,0.0086223,0.0015333
6,ambient,AMDU,0.9644447,0.0006992,0.0004983,0.0018787,0.0007695,0.0005345,0.0006329,0.0003335,0.0042998,0.0020494,0.0012337,0.0042194,0,0,0.0113724,0.0005405,0,0,0.0004601,0.000657,0.0002753,0,0,0,0,0
6,ambient,PLRI,0.5076498,0.0457109,0.0231363,0.0773829,0.0040095,0.0031672,0.0010782,0.0006065,0.0239224,0.0047059,0.0039646,0.0006772,0,0,0.0107932,0.0024709,0,0,0.0009322,0.0008659,0.0215639,0.0187561,0.0187561,0.0064804,0.0097599,0
6,ambient,LYPA,0.6225961,0.0290013,0.0396439,0.003858,0.012718,0.0051617,0.0058535,0.0018917,0.0516169,0.0152722,0.0122125,0.0077159,0.0052947,0.000306,0,0.0087536,0.0042305,0.0060131,0.0073967,0.0111482,0.0011867,0.0012691,0.0012691,0.002533,0,0.0020514
6,ambient,LYAN,0.5994621,0.0061971,0.0563008,0.0030459,0.0138524,0.0085464,0.0021305,0.0022318,0.0700723,0.0369803,0.0354412,0.0182269,0.0086274,0.0007169,0,0.0055086,0.00964,0.0026895,0.0115032,0.0203736,0.0006764,0.0024586,0.0024586,0,0.0096805,0
6,ambient,INSP,0.7404574,0.0419593,0.0256692,0.0058002,0.0047307,0.0026903,0.002028,0.0034184,0.0448388,0.0036982,0.0017113,0.0024229,0.006335,0,0,0.0124644,0.0032045,0.0034596,0.0034925,0.0022214,0.0053889,0.0011847,0.0011847,0.0021103,0,0
