Compound,Type,Source,LATR_1,AMDU_1,PLRI_1,LYPA_1,LYAN_1,INSP_1,LATR_2,AMDU_2,PLRI_2,LYPA_2,LYAN_2,LATR_3,AMDU_3,PLRI_3,LYPA_3,LYAN_3,INSP_3,LATR_4,AMDU_4,PLRI_4,LYPA_4,LYAN_4,INSP_4,LATR_5,AMDU_5,PLRI_5,LYPA_5,LYAN_5,INSP_5,LATR_6,AMDU_6,PLRI_6,LYPA_6,LYAN_6,INSP_6
C14_alkene_#3,other,Lipid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00471883,0,0,0,0,0,0
n-Octacosane,Aliphatic,Lipid,0,0,0,0,0.00293379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hex-2-yn-4-one, 2-methyl-",Aliphatic,Lipid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00052562,0,0,0
Propene,Aliphatic,Lipid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000515905,0,0,0,0,0,0,0,0,0,0
n-Triacontane (C30),Aliphatic,Lipid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000380638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyrazolo[5,1-c][1,2,4]benzotriazin-8-ol",Aromatic,N-Bearing,0.005985143,0.003772065,0.003789783,0.013517738,0.000964239,0.00509957,0,0.001858728,0.00338115,0.004025716,0.003338659,0.01387204,0.026967387,0.004370822,0.010403593,0.025743694,0.00214021,0.019375913,0.006991644,0.008235133,0.012318402,0.005820737,0.053034088,0.002526648,0.00271896,0.005418308,0.006501357,0.0316611,0.000456191,0.027700528,0.004219446,0.000677241,0.007715934,0.018226888,0.002422941
3-Phenylpyridine,Aromatic,N-Bearing,0.006201909,0.004661194,0.005027263,0.002338203,0.001259574,0.009835966,0,0.001169506,0.002738038,0.004685669,0.00124396,0.003276123,0.011267902,0.003311229,0.012343946,0.014373562,0.003069709,0.017788206,0.000958763,0.004313641,0.013458648,0.001474849,0.006981541,0.002807778,0.004210902,0.007232367,0.011030392,0.017967674,0.000541376,0.009402574,0.000657028,0.000865925,0.011148195,0.020373611,0.002221372
5H-1-Pyrindine,Aromatic,N-Bearing,0.002071317,0.004903684,0.004202276,0.003569936,0.001903052,0.002693542,0.006552153,0,0.001347839,0.001409001,0.005416046,0.001020278,0.00424264,0.00083443,0.00233668,0.005102768,0.002275449,0.006086213,0.000893465,0.008627282,0.001944027,0.002307319,0.001313042,0.003619538,0,0.003759399,0.003451563,0.005065776,0,0.003823453,0,0,0.001689524,0.002588218,0.003883287
Diethyltoluamide (DEET),Aromatic,N-Bearing,0.00175219,0.001786342,0,0.009185799,0,0.00416137,0.001701674,0.002203339,0.001582748,0.000580759,0.001157402,0.001241183,0,0.002268192,0.004499967,0.000992971,0.001047565,0,0.001624482,0,0,0.000530946,0.017165623,0.002526648,0.012409612,0.004630624,0.002921958,0.0033508,0.001423495,0.000854425,0.000538482,0.001639754,0.001662917,0.006237646,0.00340199
Aniline,Aromatic,N-Bearing,0,0.012905851,0.0117045,0.004483296,0.009837977,0,0.019137944,0,0.000997401,0.001890766,0.0156546,0.001488296,0.002147085,0,0.00161008,0.00380026,0.003649304,0.013260299,0,0.019607459,0.011776317,0,0,0.005025184,0,0.00550185,0.010738196,0.009946862,0,0.001790781,0,0,0.006013108,0.002689479,0.003459581
