Compound,Type,Source,LATR_1,AMDU_1,PLRI_1,LYPA_1,LYAN_1,INSP_1,LATR_2,AMDU_2,PLRI_2,LYPA_2,LYAN_2,LATR_3,AMDU_3,PLRI_3,LYPA_3,LYAN_3,INSP_3,LATR_4,AMDU_4,PLRI_4,LYPA_4,LYAN_4,INSP_4,LATR_5,AMDU_5,PLRI_5,LYPA_5,LYAN_5,INSP_5,LATR_6,AMDU_6,PLRI_6,LYPA_6,LYAN_6,INSP_6
Ethylbenzene,Aromatic,Protein,0.000873084,0.004176215,0.005130387,0.000949895,0.003442314,0.002179045,0.051851573,0.000993131,0.000912679,0.001610286,0.00276985,0.007151308,0.011164842,0.000761583,0.001589438,0.019001298,0.0084578,0.002575615,0.001672261,0.007385476,0.011925858,0,0,0.013599624,0.00208593,0.006647571,0.008546728,0.00253025,0.004629161,0.011060704,0.000275269,0.021563887,0.001186658,0.00067642,0.005388884
Benzonitrile,Aromatic,Protein,0.004612293,0.017405385,0.012787295,0.00819415,0.012204567,0,0,0.003283301,0.010936748,0.00524663,0.014937406,0.00718875,0.007729506,0.00347679,0.005986195,0.00904094,0.009402326,0.011643189,0.003344522,0.023659667,0.008635966,0.008652447,0,0.014126741,0,0.015276286,0.010409476,0.006358604,0,0.007959025,0.000520398,0,0.008168248,0.005063025,0.019868939
Pyridine,Aromatic,Protein,0.007827652,0.022794049,0.015752091,0.013622122,0.010229149,0.007248351,0.051380195,0.001628083,0.007239819,0.010889231,0.021293223,0.00481122,0.009275407,0,0.004747672,0,0.007942604,0.00870299,0,0.015685967,0.010804304,0,0,0.012615671,0,0.005537654,0.006318735,0.007915275,0,0.007081191,0,0,0.005294727,0.008627394,0.006335024
Pyrrole,Aromatic,Protein,0,0.010938988,0,0.011899785,0,0.003261001,0.0200807,0,0.001147588,0.004883655,0,0,0.003538396,0.000329798,0.00644032,0.009163529,0,0.00899701,0,0,0.006505013,0.002838265,0.007942303,0,0.008170823,0.004940924,0.006190899,0.002638425,0,0.008622277,0,0.009759905,0,0.009680503,0
"1H-Pyrrole, 2-methyl-",Aromatic,Protein,0,0.002694332,0,0.004373693,0.000997489,0,0.004261257,0,0,0.001283609,0,0.001098905,0.002353205,0,0,0,0.00089086,0.002322757,0.00027871,0.006307066,0.003121659,0,0,0,0,0.001587302,0.001935797,0.004670012,0.006288036,0.001406485,0,0.009389276,0.000734344,0.002713781,0
"1H-Pyrrole, 1-methyl-",Aromatic,Protein,0,0.004337875,0.002062467,0,0.001863935,0,0.004591221,0,0,0,0.003858006,0.001149451,0.001889435,0,0,0.003003431,0.001099085,0,0,0.004117566,0.001213148,0,0,0.000860958,0.001065275,0,0.001177914,0.001580417,0,0,0,0,0.000351208,0,0
4-Pyridinamine,Aromatic,Protein,0,0,0.000696083,0,0,0,0,0,0,0,0.00065042,0,0.001643808,0,0,0.011262866,0,0.002810831,0,0.001137233,0.002448726,0,0,0,0,0,0.000597175,0.001495987,0.000280216,0.001759569,0,0.000639055,0,0,0
"Pyridine, 3,5-dimethyl-",Aromatic,Protein,0,0,0,0,0,0,0.002602006,0,0,0,0,0,0.000731727,0,0,0.001823512,0,0.001843505,0,0,0.002803885,0,0,0,0,0,0.001124954,0.000999963,0,0,0,0,0.000933894,0,0
"1 H-Pyrrole, 2-ethyl-",Aromatic,Protein,0,0,0,0,0,0,0,0,0,0,0,0,0.000748903,0,0,0.002926813,0,0,0,0,0,0,0,0,0,0,0,0,0.000206239,0.000561814,0,0,0,0,0
Toluene,Aromatic,Unknown Origin,0.005220442,0.110198182,0.009487348,0.006680581,0.008292847,0.009533321,0.184308771,0.005779694,0.01070569,0.006533539,0.089278207,0.012861122,0.020783782,0.00291057,0.008752229,0.091175583,0.03413173,0.01711196,0.00245265,0.147382731,0.000289735,0.003893601,0.005732549,0.053063131,0.012800027,0.040816327,0.053143114,0.077305852,0.018270052,0.07861488,0.000699222,0.045710948,0.029001271,0.006197142,0.04195925
Monobenzone,Aromatic,Unknown Origin,0.002468721,0.009457106,0.006187401,0.0163883,0.004850533,0.00402518,0.003049815,0.001269905,0.003134688,0.004190704,0.005787008,0.004960986,0.012350033,0.001854288,0.005408217,0.015323627,0.004207433,0.014671594,0.001315512,0.011862513,0.011925858,0.001206099,0.005867056,0.004638631,0.001196342,0.006396945,0.007980598,0.017492758,0.002465897,0.009714692,0.000534463,0.003167196,0.005161694,0.008546385,0.002690328
Phenanthrene,Aromatic,Unknown Origin,0.014812326,0.006358624,0.000688348,0.000840292,0.005515526,0.009987289,0.006693567,0.002984819,0.005429864,0.000722649,0.005366585,0.004155996,0.001569949,0.004735057,0.007926547,0.002911489,0.002962377,0.007468106,0.001403107,0.006927969,0.00495353,0.008980191,0.001351473,0.005130607,0.000686015,0.006086645,0.003360252,0.005540692,0.000262282,0.003491827,0.000632917,0.001078194,0.005853467,0.002130521,0.00202803
"1H-Inden-1-one, 2,3-dihydro-",Aromatic,Unknown Origin,0.00369706,0.005442551,0.004743674,0.006054277,0.002816439,0.003374493,0.00401614,0.001041973,0.001983248,0.001765375,0.004674122,0.00239625,0.006149251,0.001476808,0.004169694,0.006175422,0.001809626,0.008791196,0.001097322,0.008202454,0.004037594,0.00310046,0.001806233,0.002934286,0.002010636,0.004559017,0.003049794,0.006358604,0,0.006515476,0.000289333,0.000926573,0.003086374,0.004576974,0.002361236
Dimethylbenzofuran,Aromatic,Unknown Origin,0.001077807,0.00246262,0.002706988,0.001764091,0.00195586,0.001104655,0.002583151,0.000248554,0.000620006,0.001079024,0.002596735,0.000561621,0.003658633,0.000324169,0.000970176,0.004918884,0.001045418,0.001187841,0.00027234,0.003065299,0.000876681,0.000662043,0.000986383,0.000941783,0.000778041,0.001066953,0.000772493,0.001015794,0,0.002106801,0,0.000862555,0.001561812,0.001446,0.000670525
C9_H8,other,Unknown Origin,0.006201909,0.012851964,0.01046702,0.009185799,0.007862558,0,0.022060487,0.000879165,0.002830461,0.003695739,0.013132058,0,0.012762273,0.002407263,0.003294471,0.016396281,0.004100101,0.014583388,0.000974689,0.018006183,0.009364976,0.001592837,0,0.005903713,0,0.004141306,0.007432731,0.010237089,0,0.0113143,0,0,0.004230461,0.009639999,0.003204535
Indane,Aromatic,Unknown Origin,0.000404629,0.003960668,0.002939015,0,0.002053653,0,0.005090882,0.000233359,0,0.000233294,0.002695658,0.000868641,0.003349453,0,0,0.005256004,0.001466162,0.003528239,0.000345601,0.004934544,0.002654345,0,0,0.002403654,0.000510328,0.003258145,0.001972322,0.002622594,0.000235381,0.002633501,0,0.001898071,0.00139419,0,0.001604324
1-Undecanol,Aliphatic,Unknown Origin,0,0.001829451,0.000688348,0,0.000645434,0,0,0,0,0,0.001832553,0.001984394,0.002181438,0,0,0.003156667,0.000508756,0.001155498,0.001184916,0.004836506,0.00050283,0,0,0.001598922,0.005186939,0.001682778,0.000635526,0.002226831,0.003698845,0.004408676,0,0.005716676,0.000393779,0,0.000974936
"2,3,6-Trimethylnaphthalene",Aromatic,Unknown Origin,0.001113935,0.004014555,0.003196824,0.002985385,0.001662481,0,0.000923901,0,0.000612304,0.000765546,0.003239735,0,0.006698905,0,0.000772013,0.002911489,0.000721274,0.001593588,0,0.002450932,0.001310349,0,0,0.000657139,0,0.000921351,0.000219147,0,0,0.001459155,0,0.000467218,0,0.00116247,0
"Spiro[2.4]hepta-4,6-diene",Aromatic,Unknown Origin,0,0,0.094100055,0,0.066108073,0.000953332,0.000688212,0,0,0,0.000502035,0.041747166,0.077638591,0,0,0.000688031,0,0.093204317,0.011689901,0.001127429,0.074022566,0.001081556,0,0.001338878,0,0.002542069,0,0,0,0,0,0,0.000305977,0.000716924,0
Trimethylphenol,Aromatic,Unknown Origin,0,0,0,0,0.000514391,0,0,0,0,0,0.000336339,0,0.000767798,0,0,0.001202905,0.000407863,0.000514535,0,0.000431364,0.000289735,0,0,0,0,0.000585989,0.000818148,0.000910257,0,0.00105145,0,0.000473956,0.000606632,0.000899193,0
2-Pentanone,Aliphatic,Unknown Origin,0,0,0.001281308,0,0.000561332,0,0.001098311,0,0,0,0.001815241,0,0.00135524,0,0,0.001578334,0,0.001270166,0,0,0.001173893,0,0,0,0,0,0.000927722,0.001145076,0,0.000606681,0,0,0.000923251,0,0
"2,3,5-Trimethylnaphthalene",Aromatic,Unknown Origin,0,0.001355249,0.001108576,0,0.000733448,0,0,0,0,0.000729249,0.000937298,0,0.000489535,0,0,0.002390486,0.00043577,0,0,0.001548989,0.000757049,0,0,0,0,0,0,0,0,0,0,0,0.000641221,0.000700723,0
"Benzene, heptyl-",Aromatic,Unknown Origin,0,0.000652028,0.000407337,0,0,0,0,0,0,0,0.000516874,0,0.000717985,0,0,0.000879576,0,0,0,0.001029392,0.000471053,0,0,0,0,0.000303139,0.000675703,0.000736121,0,0.001466958,0,0.000321212,0,0,0
"Benzene, pentyl-",Aromatic,Unknown Origin,0,0.001158563,0.001350916,0,0.000995533,0,0,0,0,0,0.001983411,0.001909512,0.001432535,0,0,0,0,0,0,0.003725417,0,0,0,0,0,0,0,0.002593572,0,0.002106801,0,0.001325281,0,0,0
C11_H12,other,Unknown Origin,0,0.000449953,0.000407337,0,0,0,0,0,0,0,0.000388274,0,0.000671608,0,0,0.001184516,0,0.000699767,0,0,0.000500961,0,0,0,0,0,0.000325068,0.000506578,0,0.000567666,0,0,0,0,0
"1,3,5-Cycloheptatriene",Aromatic,Unknown Origin,0,0,0,0,0,0,0,0,0,0,0,0.007975019,0,0,0,0,0,0.004292691,0.002134124,0,0,0,0.01697347,0.002171723,0.015003081,0,0,0,0.008002955,0.00520848,0,0.023023942,0,0,0
"1-Propene, 3-azido-",Aliphatic,Unknown Origin,0,0.001581573,0,0,0,0,0.003827589,0,0,0,0,0,0,0,0,0,0.000785674,0,0,0.002679686,0.000902851,0,0,0.00037601,0,0,0.000681181,0.000749313,0,0.000542306,0,0,0,0,0
"(E)-1,3-Butadien-1-ol",Aliphatic,Unknown Origin,0,0.000643945,0,0,0.000842976,0,0,0,0,0,0.001684168,0,0.000879446,0,0,0.000960791,0,0,0,0.006568499,0.000671063,0,0,0,0,0,0.000787102,0,0,0,0,0,0,0,0
Cyclobut-1-enylmethanol,Aromatic,Unknown Origin,0,0.003637348,0,0,0,0,0,0,0,0,0.002366738,0,0.002628032,0,0,0.003156667,0,0,0.001143508,0.007385476,0,0,0,0,0,0,0,0,0,0.004993898,0,0,0,0,0
Acenaphthylene,Aromatic,Unknown Origin,0,0.000673583,0.001608724,0,0,0,0.001008749,0,0,0,0.001290948,0,0,0,0,0,0,0,0,0.001905191,0,0,0,0.00097341,0,0,0,0,0,0,0,0,0,0.000530605,0
Acenaphthene,Aromatic,Unknown Origin,0,0.000794828,0.000415071,0,0,0,0,0,0,0,0.001026328,0,0.002044025,0,0,0.001823512,0,0,0,0.000921551,0,0,0,0,0,0.000466643,0,0,0,0,0,0,0,0,0
7-Methylindan-1-one,Aromatic,Unknown Origin,0,0,0.00041765,0,0.000369658,0,0,0,0,0,0.000598485,0,0,0,0,0.001961424,0.000452943,0,0,0.000970569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fluoranthene,Aromatic,Unknown Origin,0,0,0,0,0,0,0,0,0,0.00084804,0,0.00043432,0,0,0,0.001333156,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001402583,0,0,0,0,0
C8_H16,other,Unknown Origin,0,0,0,0,0,0.004244598,0,0,0,0,0,0.00213416,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002291443,0,0,0,0,0,0,0,0,0
"Phosphonic acid, (p-hydroxyphenyl)-",Aliphatic,Unknown Origin,0,0,0,0.003810019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00044158,0,0,0,0,0,0,0.002344048,0,0
"3-Penten-2-one, (E)-",Aliphatic,Unknown Origin,0,0,0,0,0,0,0,0,0,0,0,0,0.000329792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000543516,0,0,0,0.002616868,0,0,0
2-Methylthiophene,Aromatic,Unknown Origin,0,0,0,0,0,0,0.00094747,0,0,0,0,0,0,0,0,0.00033099,0,0,0,0.000473847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethanone, 1-(3-hydroxy-4-methoxyphenyl)-",Aromatic,Unknown Origin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000103568,0,0,5.33E-05,0,0,0
D-Limonene,Aromatic,Unknown Origin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008759571,0,0,0,0,0,0,0
Calamenene (Naphthalene),Aromatic,Unknown Origin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005726144,0,0,0,0,0,0,0,0,0,0,0,0
Mequinol,Aromatic,Unknown Origin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001823512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pyruvaldehyde,Aliphatic,Unknown Origin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001351473,0,0,0,0,0,0,0,0,0,0,0,0
"5-Heptadecene, 1-bromo-",Aliphatic,Unknown Origin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000992769,0,0,0,0,0,0,0,0,0,0
"6-Methyl-1,2,3,4-tetrahydroquinoline",Aromatic,Unknown Origin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000535426,0,0,0,0,0,0,0,0,0,0
3-Methylthiophene,Aromatic,Unknown Origin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000353264,0,0,0,0,0,0,0,0,0
Pyrene,Aromatic,Unknown Origin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benzene, 2,4-diisocyanato-1-methyl-",Aromatic,Unknown Origin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
