"","plant","treatment","mean","sd","n","se"
"1","INSP","ambient",142.769757841017,54.3722616823972,14,14.5315981828248
"2","INSP","elevated",119.382858714236,49.1538154198743,9,16.3846051399581
"3","LATR","ambient",105.146965310852,45.2362791932676,15,11.6799570639943
"4","LATR","elevated",99.410165876296,48.0970595724963,15,12.4186073817216
