Sample,depth,ring,treatment,plant,bulkdensity,drywt,lf_final,hf_final,lf_perC,lf_isoC,lf_perN,lf_isoN,hf_perC,hf_isoC,hf_perN,hf_isoN,soc_perC,soc_isoC,soc_perN
121,20,3,elevated,LATR,1499213.902,25.005,0.027,24.736,16.83666714,-21.07969679,1.425249057,5.74777852,0.12,-29.25,0.0114738,7.2496494,0.149790143,-24.44631041,0.0212
122,20,3,elevated,AMDU,1499213.902,25.008,0.054,24.74,21.05079065,-22.85976176,1.373379467,4.339782449,0.12,-29.22,0.0105485,7.0925113,0.1858,-24.2983,0.0173
123,20,3,elevated,PLRI,1499213.902,25.027,0.056,24.776,20.29956613,-20.52336765,1.542564222,5.228294049,0.15,-29.74,0.0123336,7.1626052,0.177252725,-29.03280391,
124,20,3,elevated,LYPA,1499213.902,25.034,0.03,24.934,17.82439471,-22.51052638,1.525311857,5.20084575,0.11,-27.74,0.0101948,7.3059521,0.350823047,-24.15649841,
125,20,3,elevated,LYAN,1499213.902,25.008,0.076,24.664,20.71741454,-22.75621488,1.977469893,4.885698615,0.18,-24.46,0.0202556,9.4665978,0.286057186,-25.19344984,
126,20,3,elevated,INSP,1499213.902,25,0.038,24.786,14.97242155,-21.24348912,1.174424972,5.680682678,0.11,-25.27,0.0126079,4.5032358,,,
127,20,4,ambient,LATR,1499213.902,25.069,0.081,24.726,19.39153452,-18.27640039,1.462949332,5.670516641,0.18,-24.18,0.0190801,7.8464892,0.280681799,-25.87337087,0.0291
128,20,4,ambient,AMDU,1499213.902,25.027,0.041,24.735,21.76129867,-21.69815405,2.145870974,5.895186051,0.16,-25.06,0.0179891,8.5717303,0.298274016,-25.66246766,0.0340
129,20,4,ambient,PLRI,1499213.902,25.024,0.108,24.661,13.5813016,-17.66453247,1.042251574,5.496677415,0.16,-24.52,0.016237,8.1908527,0.185817527,-24.29828393,
130,20,4,ambient,LYPA,1499213.902,25.026,0.11,24.848,22.83850307,-22.90776986,1.844694816,6.221515826,0.18,-24.37,0.02262,8.7651919,0.354827862,-24.65939139,
131,20,4,ambient,LYAN,1499213.902,,,,,,,,,,,,0.245183768,-25.87439967,
132,20,4,ambient,INSP,1499213.902,25.058,0.034,24.847,17.56112993,-22.48793434,1.454594095,5.991763399,0.14,-25.57,0.0157923,7.4673869,0.102523946,-26.58084769,
133,20,5,ambient,LATR,1499213.902,25.025,0.072,24.793,21.98088673,-20.61938385,1.609935367,4.59291676,0.16,-24.6,0.0192204,7.8674091,0.25354162,-25.39498065,0.0278
134,20,5,ambient,AMDU,1499213.902,25.044,0.032,24.862,18.40085286,-21.82241031,1.667374613,5.623752873,0.11,-27.27,0.0126885,7.0472125,0.21961601,-26.4032009,0.0252
135,20,5,ambient,PLRI,1499213.902,25.015,0.048,24.667,16.69437169,-19.64698453,1.444240998,5.411282708,0.17,-30.94,0.0162545,7.4371585,0.217647684,-24.13161896,
136,20,5,ambient,LYPA,1499213.902,25.012,0.044,24.729,20.01679339,-22.89082583,2.050774694,5.204912165,0.12,-28.93,0.0127663,7.3182603,0.213410167,-24.03182573,
137,20,5,ambient,LYAN,1499213.902,25.032,0.033,24.78,18.14563543,-21.33668131,1.583754777,4.795220889,0.1,-26.99,0.0106067,7.1449509,0.314645414,-25.29930261,
138,20,5,ambient,INSP,1499213.902,25.061,0.017,24.921,18.1342276,-19.00875922,1.502474143,5.364518939,0.09,-25.23,0.0097288,6.3388609,0.123099195,-24.89644393,
139,20,6,ambient,LATR,1499213.902,25.036,0.101,24.683,20.29844333,-21.57201513,1.666788739,4.730158255,0.2,-24.68,0.0226906,8.4467863,0.33031213,-24.56474214,0.0338
140,20,6,ambient,AMDU,1499213.902,25.012,0.054,24.737,17.13691971,-21.73298346,1.497798173,5.905352087,0.16,-29.16,0.0166059,7.8704319,0.179283797,-27.8795234,0.0194
141,20,6,ambient,PLRI,1499213.902,,,,,,,,,,,,0.193857245,-28.05750514,
142,20,6,ambient,LYPA,1499213.902,25.039,0.229,24.892,12.32570743,-21.75934085,0.826069709,3.858928917,0.09,-27.07,0.0087927,5.0894213,0.17994622,-28.15524078,
