"","treatment","plant","emmean","SE","df","lower.CL","upper.CL"
"1","ambient","INSP",0.0351900093333335,0.0182105135376265,4.58998130719297,-0.0129077512246106,0.0832877698912775
"2","elevated","INSP",0.03396334587334,0.0199253344411504,5.66267304357319,-0.015504950862463,0.083431642609143
"3","ambient","LATR",0.0573586890000001,0.0182105135376265,4.58998130719297,0.00926092844205612,0.105456449557944
"4","elevated","LATR",0.037447939,0.0182105135376265,4.58998130719298,-0.010649821557944,0.085545699557944
