"","contrast","plant","estimate","SE","df","t.ratio","p.value"
"1","ambient - elevated","INSP",-0.0526289766291331,0.0625918418207173,4.78835765281469,-0.840828055194143,0.440398032856615
"2","ambient - elevated","LATR",0.0123759476666668,0.0607114401123811,4.37465272062352,0.203848692170011,0.847608384807758
