"","contrast","treatment","estimate","SE","df","t.ratio","p.value"
"1","INSP - LATR","ambient",-0.0394524933333333,0.00982523833066623,3.00028879745585,-4.01542354552311,0.0277226315555739
"2","INSP - LATR","elevated",0.0162847361059923,0.0120828431047938,3.03930497431797,1.34775697778708,0.269395324119486
