"","contrast","plant","estimate","SE","df","t.ratio","p.value"
"1","ambient - elevated","INSP",-0.0621486717726591,0.0502113853736848,4.27013368853737,-1.23774063014064,0.27951340864272
"2","ambient - elevated","LATR",-0.0064114423333335,0.0497164302007296,4.11945383596237,-0.128960231204199,0.90344150240508
