"","contrast","treatment","estimate","SE","df","t.ratio","p.value"
"1","INSP - LATR","ambient",0.279256611666667,0.0815208305441781,3.0085483992039,3.42558594904564,0.0414914102469109
"2","INSP - LATR","elevated",0.0474408543467431,0.101499045348218,3.21452717643318,0.46740197589037,0.670088860886674
