"","contrast","plant","estimate","SE","df","t.ratio","p.value"
"1","ambient - elevated","INSP",0.00516201883333333,0.00486661024212974,7.00000000000001,1.06070109922637,0.324046086645521
"2","ambient - elevated","LATR",0.00332347633333333,0.0040887704392686,7.00000000000001,0.812830258557591,0.443078124820771
