"","contrast","treatment","estimate","SE","df","t.ratio","p.value"
"1","INSP - LATR","ambient",-0.0605669380000001,0.0208806782352222,3.07321344017378,-2.90062120194132,0.0606740901946239
"2","INSP - LATR","elevated",0.0166586939604501,0.025948807320611,3.61618696626707,0.641983030457751,0.559298728832118
