"","contrast","plant","estimate","SE","df","t.ratio","p.value"
"1","ambient - elevated","INSP",-0.0433137639604502,0.0313554544748458,6.654130226215,-1.381378923887,0.211762363788882
"2","ambient - elevated","LATR",0.0339118679999999,0.0273098269405871,6.11698470425374,1.24174598666538,0.259823338245935
