"","contrast","treatment","estimate","SE","df","t.ratio","p.value"
"1","INSP - LATR","ambient",-0.0221686796666667,0.0109463239655015,3.00639544184409,-2.02521684325565,0.135775411403899
"2","INSP - LATR","elevated",-0.00348459312666003,0.0136094877804172,3.18553388747711,-0.256041460404853,0.813571416242232
