"","contrast","treatment","estimate","SE","df","t.ratio","p.value"
"1","INSP - LATR","ambient",-0.00845239833333331,0.0179716111931192,3.2040567823738,-0.470319452302056,0.668304897585579
"2","INSP - LATR","elevated",-0.0148167635124886,0.021559845514414,3.96260809195175,-0.687238853477996,0.530040412225999
