"","treatment","plant","emmean","SE","df","lower.CL","upper.CL"
"1","ambient","INSP",0.0606671463333334,0.0268250041021196,5.73744332776215,-0.00570631129451703,0.127040603961184
"2","elevated","INSP",0.0662561054422873,0.0332836313959186,6.79109702427047,-0.0129406297315012,0.145452840616076
"3","ambient","LATR",0.123451594,0.0268250041021196,5.73744332776214,0.0570781363721496,0.18982505162785
"4","elevated","LATR",0.100313552,0.0268250041021196,5.73744332776215,0.0339400943721496,0.16668700962785
