"","contrast","treatment","estimate","SE","df","t.ratio","p.value"
"1","INSP - LATR","ambient",-0.0873613263333333,0.0208532246898837,3.00268673625612,-4.18934374095696,0.0247547047977275
"2","INSP - LATR","elevated",-0.0223564020375333,0.0258208574984881,3.12014881244485,-0.865827249882866,0.448037657038884
