"","contrast","treatment","estimate","SE","df","t.ratio","p.value"
"1","INSP - LATR","ambient",0.00152965933333333,0.0040887704392686,3.23076923076924,0.374112304922396,0.731539017892952
"2","INSP - LATR","elevated",-0.000308883166666667,0.00486661024212974,4.00763358778627,-0.0634698797106654,0.952431979656681
