"","contrast","treatment","estimate","SE","df","t.ratio","p.value"
"1","INSP - LATR","ambient",-0.0627844476666667,0.0263857124819611,3.04909892817326,-2.37948653876942,0.0962683335562784
"2","INSP - LATR","elevated",-0.0340574465577126,0.03293061033448,3.50929038751458,-1.03421850405405,0.36696842278494
