"","contrast","plant","estimate","SE","df","t.ratio","p.value"
"1","ambient - elevated","INSP",0.124424141986592,0.188620896088223,5.31744827487924,0.659651950377732,0.536976714270832
"2","ambient - elevated","LATR",-0.107391615333332,0.178665699134269,4.68784392083886,-0.601075728881939,0.575662048852666
