"","contrast","plant","depth","fraction","estimate","SE","df","t.ratio","p.value"
"1","ambient - elevated","LATR","0","hf",2.02480516666671,0.736493531485639,23.425273651324,2.74925044159222,0.0113116114855655
"2","ambient - elevated","LYAN","0","hf",0.803073924003735,0.819552390111888,25.4472031696561,0.979893334084592,0.336363553092962
"3","ambient - elevated","LATR","20","hf",0.413676733333352,0.73649353148564,23.425273651324,0.561684136585547,0.579666085605951
"4","ambient - elevated","LYAN","20","hf",-2.02288595982605,0.820387188569632,25.3985447886048,-2.46576980724554,0.0207628019676449
"5","ambient - elevated","LATR","0","lf",0.377498826333351,0.73649353148564,23.4252736513239,0.512562310726434,0.613056969319837
"6","ambient - elevated","LYAN","0","lf",0.435106367000013,0.736493531485639,23.425273651324,0.59078097552646,0.560324597323192
"7","ambient - elevated","LATR","20","lf",-0.970269629999986,0.73649353148564,23.425273651324,-1.31741772129726,0.200439644233067
"8","ambient - elevated","LYAN","20","lf",-0.439114405623422,0.895152686198372,26.5821747736807,-0.490546933940732,0.627771966292507
