"","contrast","plant","depth","fraction","estimate","SE","df","t.ratio","p.value"
"1","ambient - elevated","LATR","0","hf",1.47304186822392,1.17153226874798,26.9845765538239,1.25736346110054,0.219395763776955
"2","ambient - elevated","LYAN","0","hf",-0.94594735751565,1.32964557241968,26.9949427394625,-0.711428200971047,0.482921772965606
"3","ambient - elevated","LATR","20","hf",0.0624646681698013,1.17153226874798,26.9845765538237,0.0533187773278816,0.957870697705215
"4","ambient - elevated","LYAN","20","hf",1.35842056370697,1.46808481305956,26.9981145901123,0.925301148559636,0.36300677773053
"5","ambient - elevated","LATR","0","lf",-0.449818786202094,1.17153226874798,26.9845765538238,-0.383957658018944,0.704018701174265
"6","ambient - elevated","LYAN","0","lf",-1.09407552741751,1.17153226874798,26.9845765538237,-0.933884244252831,0.358645572260613
"7","ambient - elevated","LATR","20","lf",0.788126702880047,1.17153226874798,26.9845765538238,0.672731536214809,0.506838613213318
"8","ambient - elevated","LYAN","20","lf",-0.0909483508662081,1.46808481305956,26.9981145901123,-0.0619503383300228,0.951058740357307
