"","contrast","plant","depth","fraction","estimate","SE","df","t.ratio","p.value"
"1","ambient - elevated","LATR","0","hf",1.0033333333336,0.967012410806578,26.9996033190233,1.03755993420676,0.308678452597157
"2","ambient - elevated","LYAN","0","hf",0.989288663021062,1.09850394997238,26.999875231922,0.900578157271021,0.375775685864954
"3","ambient - elevated","LATR","20","hf",2.66333333333331,0.967012410806579,26.9996033190233,2.75418733365773,0.0103999128999524
"4","ambient - elevated","LYAN","20","hf",-2.91811333950316,1.21295817354734,26.9999548672582,-2.40578232880779,0.0232558132192375
"5","ambient - elevated","LATR","0","lf",1.41953356999994,0.967012410806577,26.9996033190234,1.46795796427878,0.153669845781818
"6","ambient - elevated","LYAN","0","lf",0.49671124,0.967012410806579,26.9996033190234,0.513655496505671,0.611671116905271
"7","ambient - elevated","LATR","20","lf",2.21985507333332,0.967012410806578,26.9996033190233,2.29558074800897,0.0296946617187367
"8","ambient - elevated","LYAN","20","lf",1.01805807049683,1.21295817354734,26.9999548672581,0.8393183645562,0.408660957161794
