"","plant","treatment","depth","emmean","SE","df","lower.CL","upper.CL"
"1","INSP","ambient","0",8.23812259301374,0.603805875144033,14.9999999999999,6.95114083483167,9.52510435119581
"2","LATR","ambient","0",8.69728782113843,0.603805875144032,15,7.41030606295636,9.9842695793205
"3","INSP","elevated","0",6.84882873327682,0.773922075338354,15,5.19925287749821,8.49840458905543
"4","LATR","elevated","0",7.22424595291456,0.603805875144032,15,5.93726419473249,8.51122771109663
"5","INSP","ambient","20",8.66599711161344,0.603805875144032,15,7.37901535343137,9.95297886979551
"6","LATR","ambient","20",8.85754133801081,0.603805875144033,14.9999999999999,7.57055957982874,10.1445230961929
"7","INSP","elevated","20",8.45063643909586,0.603805875144032,15,7.16365468091379,9.73761819727793
"8","LATR","elevated","20",8.79507666984101,0.603805875144032,15,7.50809491165894,10.0820584280231
