"","contrast","plant","depth","estimate","SE","df","t.ratio","p.value"
"1","ambient - elevated","INSP","0",0.0150167944522432,0.0193175247388007,13.9846389132824,0.777366389084045,0.44989364008775
"2","ambient - elevated","LATR","0",0.0166165661900974,0.0169225846364825,13.9689303213555,0.981916565763517,0.342842654632459
"3","ambient - elevated","INSP","20",0.00846506812785649,0.0193175247388007,13.9846389132823,0.438206666864196,0.667929529522651
"4","ambient - elevated","LATR","20",0.0363672676869589,0.0169225846364825,13.9689303213555,2.14903742354797,0.0496474084604104
