"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"plant",1.14478409669337,1.14478409669337,1,11.4982082658046,2.16526110731057,0.167993524617621
"treatment",2.18614825127,2.18614825127,1,4.13971732532508,4.13491224848647,0.109403842860875
"depth",2.87496143601117,2.87496143601117,1,10.4698583523629,5.43774341414535,0.0408360662926909
"plant:treatment",4.9756621306161,4.9756621306161,1,11.4982082640061,9.41103892485917,0.010206727443878
"plant:depth",0.120418781481363,0.120418781481363,1,10.4698583515596,0.22776181542393,0.64299466381608
"treatment:depth",0.16917478190282,0.16917478190282,1,10.4698583507589,0.319979615938042,0.583538944453157
"plant:treatment:depth",1.03662474205256,1.03662474205256,1,10.4698583524004,1.96068694815513,0.190370238309379
