"","contrast","plant","depth","estimate","SE","df","t.ratio","p.value"
"1","ambient - elevated","INSP","0",6.50560857421044,7.54148732810304,14.0000000000001,0.862642644769495,0.402869715852138
"2","ambient - elevated","LATR","0",-1.73698218157993,6.60763742762135,14,-0.262874923239427,0.796476023712912
"3","ambient - elevated","INSP","20",1.17626168506143,7.54148732810305,14,0.155972109198956,0.878281690668935
"4","ambient - elevated","LATR","20",13.5749227339685,6.60763742762135,14,2.05442911822346,0.0590964858110967
