"","contrast","depth","plant","estimate","SE","df","t.ratio","p.value"
"1","ambient - elevated","0","INSP",6.50560857421045,7.54148732810305,14,0.862642644769495,0.402869715852138
"2","ambient - elevated","20","INSP",1.17626168506143,7.54148732810305,14,0.155972109198955,0.878281690668936
"3","ambient - elevated","0","LATR",-1.73698218157992,6.60763742762136,14,-0.262874923239426,0.796476023712913
"4","ambient - elevated","20","LATR",13.5749227339685,6.60763742762135,14,2.05442911822346,0.0590964858110966
