"","contrast","plant","depth","estimate","SE","df","t.ratio","p.value"
"1","ambient - elevated","INSP","0",-8.77501757184712,6.4116247354377,14,-1.36861059933011,0.192682760739757
"2","ambient - elevated","LATR","0",-2.4219093293543,5.61768385075275,14,-0.431122397361286,0.672943650652916
"3","ambient - elevated","INSP","20",-2.86860114146999,6.4116247354377,14,-0.44740627529477,0.661426108941034
"4","ambient - elevated","LATR","20",-9.99017799260421,5.61768385075274,14.0000000000001,-1.77834464487808,0.0970631923503135
