"","contrast","treatment","depth","estimate","SE","df","t.ratio","p.value"
"1","INSP - LATR","ambient","0",-0.614618564683343,0.236883448725018,11.0186664403938,-2.594603244724,0.0249025097351871
"2","INSP - LATR","elevated","0",0.0958731139151975,0.273803080842133,11.782545518759,0.350153525009002,0.732403090886514
"3","INSP - LATR","ambient","20",-0.652854756510625,0.236883448725018,11.0186664403937,-2.75601676699869,0.0186621416770535
"4","INSP - LATR","elevated","20",0.258906856306085,0.236883448725018,11.0186664403937,1.09297149167493,0.297725942464141
