"","plant","treatment","depth","emmean","SE","df","lower.CL","upper.CL"
"1","INSP","ambient","0",1.22408883069248,0.184593672006847,13.7984589919113,0.827631576456267,1.6205460849287
"2","LATR","ambient","0",1.83870739537582,0.184593672006846,13.7984589919113,1.44225014113961,2.23516464961204
"3","INSP","elevated","0",1.44622394394775,0.230063431565636,14.7740629630434,0.955201387896176,1.93724649999932
"4","LATR","elevated","0",1.35035083003255,0.184593672006847,13.7984589919112,0.953893575796334,1.74680808426877
"5","INSP","ambient","20",1.12459171470475,0.184593672006846,13.7984589919113,0.728134460468532,1.52104896894096
"6","LATR","ambient","20",1.77744647121537,0.184593672006847,13.7984589919113,1.38098921697916,2.17390372545159
"7","INSP","elevated","20",1.44423860651613,0.184593672006846,13.7984589919112,1.04778135227991,1.84069586075234
"8","LATR","elevated","20",1.18533175021004,0.184593672006847,13.7984589919112,0.788874495973825,1.58178900444626
