"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"plant",35.7916207912149,35.7916207912149,1,13.9999999998493,0.756093522287927,0.399216783292814
"treatment",192.892330951865,192.892330951865,1,14.0000000000586,4.0748264176827,0.0631059615394628
"depth",25.7506718446138,25.7506718446138,1,13.9999999999041,0.543979728938497,0.472969577511486
"plant:treatment",0.196848000822395,0.196848000822395,1,13.9999999998493,0.00415838945001544,0.949495326422171
"plant:depth",5.26253242170162,5.26253242170162,1,13.9999999998493,0.111170340624961,0.743756722080897
"treatment:depth",0.920584281301399,0.920584281301399,1,13.9999999998509,0.0194472280501731,0.891078215573441
"plant:treatment:depth",60.5223794574726,60.5223794574726,1,13.9999999998493,1.27852771262258,0.277172071994642
