"","plant","treatment","depth","emmean","SE","df","lower.CL","upper.CL"
"1","INSP","ambient","0",80.0834889040545,3.97230234542941,13.9999999999999,71.5637477131928,88.6032300949161
"2","LATR","ambient","0",79.6761567251704,3.97230234542943,14,71.1564155343087,88.1958979160321
"3","INSP","elevated","0",88.8585064759016,5.03286656137161,14,78.0640812730051,99.652931678798
"4","LATR","elevated","0",82.0980660545247,3.97230234542943,14,73.578324863663,90.6178072453864
"5","INSP","ambient","20",84.2406850245688,3.97230234542942,14,75.7209438337071,92.7604262154305
"6","LATR","ambient","20",79.0826907755146,3.97230234542943,14,70.5629495846529,87.6024319663763
"7","INSP","elevated","20",87.1092861660388,5.0328665613716,14,76.3148609631423,97.9037113689352
"8","LATR","elevated","20",89.0728687681189,3.97230234542942,14.0000000000001,80.5531275772572,97.5926099589805
