"","contrast","treatment","depth","estimate","SE","df","t.ratio","p.value"
"1","INSP - LATR","ambient","0",-104.608009949897,37.5864198945722,11.0209561736372,-2.78313311678305,0.0177749790595252
"2","INSP - LATR","elevated","0",14.4118005913317,43.4315372308848,11.8234796640964,0.331828010478139,0.74582721940993
"3","INSP - LATR","ambient","20",-97.8768926947555,37.5864198945723,11.0209561736373,-2.60404936062797,0.0244826253941981
"4","INSP - LATR","elevated","20",38.8156758297199,37.5864198945723,11.0209561736373,1.03270478908594,0.323872222178513
