"","treatment","plant","depth","emmean","SE","df","lower.CL","upper.CL"
"1","ambient","INSP","0",6.01311207533333,0.388721858371449,8.2792227218032,5.12195290416268,6.90427124650397
"2","elevated","INSP","0",4.27774011125726,0.454389875971107,10.9359220008209,3.27691931345993,5.27856090905459
"3","ambient","LATR","0",5.69830380833333,0.388721858371449,8.27922272180316,4.80714463716268,6.58946297950398
"4","elevated","LATR","0",5.32080498199999,0.388721858371449,8.27922272180316,4.42964581082935,6.21196415317064
"5","ambient","INSP","20",5.60545400733333,0.388721858371449,8.27922272180316,4.71429483616268,6.49661317850397
"6","elevated","INSP","20",5.31004461675727,0.454389875971107,10.9359220008209,4.30922381895993,6.3108654145546
"7","ambient","LATR","20",4.99786388533333,0.388721858371449,8.27922272180315,4.10670471416268,5.88902305650397
"8","elevated","LATR","20",5.96813351533333,0.388721858371449,8.27922272180319,5.07697434416268,6.85929268650397
