"","plant","treatment","depth","emmean","SE","df","lower.CL","upper.CL"
"1","INSP","ambient","0",0.148225635997958,0.0278264089917128,10.8977718734808,0.0869099544708071,0.209541317525109
"2","LATR","ambient","0",0.213268442685243,0.0278264089917128,10.8977718734808,0.151952761158092,0.274584124212394
"3","INSP","elevated","0",0.222537869113498,0.0332533594731535,13.4857766891034,0.150960522942996,0.294115215284
"4","LATR","elevated","0",0.192265290467272,0.0278264089917128,10.8977718734808,0.13094960894012,0.253580971994423
"5","INSP","ambient","20",0.130567355579338,0.0278264089917128,10.8977718734808,0.069251674052187,0.191883037106489
"6","LATR","ambient","20",0.200773079508241,0.0278264089917128,10.8977718734808,0.13945739798109,0.262088761035393
"7","INSP","elevated","20",0.177683502798307,0.0278264089917128,10.8977718734808,0.116367821271156,0.238999184325458
"8","LATR","elevated","20",0.13633895222639,0.0278264089917128,10.8977718734809,0.0750232706992386,0.197654633753541
