"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"plant",0.274872655137575,0.274872655137575,1,11.59508981917,4.86655641041465,0.0483635892613999
"treatment",0.187463001268151,0.187463001268151,1,4.07819345005799,3.31898882440845,0.14120243670881
"depth",0.185819942110961,0.185819942110961,1,10.5057795125259,3.28989884428616,0.0983357138035298
"plant:treatment",0.0929296499043061,0.0929296499043061,1,11.5950898205268,1.64529783158328,0.224648453376688
"plant:depth",0.0089006577226231,0.0089006577226231,1,10.5057795096749,0.157584074251615,0.699335662596773
"treatment:depth",0.0106107477413574,0.0106107477413574,1,10.5057795093902,0.187860820182897,0.673467884924723
"plant:treatment:depth",0.0422786390505899,0.0422786390505899,1,10.5057795111978,0.748533468315631,0.406263623290694
