"","treatment","plant","depth","emmean","SE","df","lower.CL","upper.CL"
"1","ambient","INSP","0",26.0240910127189,4.6723052326931,14.0000000000001,16.00299294775,36.0451890776877
"2","elevated","INSP","0",19.5184824385084,5.91976308077337,14,6.82185338723842,32.2151114897785
"3","ambient","LATR","0",28.1003884163949,4.6723052326931,14,18.079290351426,38.1214864813637
"4","elevated","LATR","0",29.8373705979748,4.6723052326931,14,19.816272533006,39.8584686629436
"5","ambient","INSP","20",19.1953218114345,4.67230523269309,14,9.17422374646567,29.2164198764034
"6","elevated","INSP","20",18.0190601263731,5.91976308077339,14,5.32243107510303,30.7156891776431
"7","ambient","LATR","20",27.9823930908409,4.6723052326931,14,17.9612950258721,38.0034911558098
"8","elevated","LATR","20",14.4074703568725,4.67230523269309,14.0000000000001,4.38637229190364,24.4285684218413
