"","contrast","treatment","depth","estimate","SE","df","t.ratio","p.value"
"1","INSP - LATR","ambient","0",0.952351766666674,1.06856456379463,11.0114336321254,0.891244009893736,0.391856584391969
"2","INSP - LATR","elevated","0",0.506745345465771,1.23605445377216,11.62756483651,0.409970081754326,0.689280270200499
"3","INSP - LATR","ambient","20",-0.505565600000003,1.06856456379463,11.0114336321254,-0.473125927182786,0.645363530349471
"4","INSP - LATR","elevated","20",-0.994601966666663,1.06856456379463,11.0114336321255,-0.930783221123006,0.37192279426755
