"","contrast","treatment","depth","estimate","SE","df","t.ratio","p.value"
"1","INSP - LATR","ambient","0",2.07629740367606,6.60763742762136,10.2307692307692,0.314226896741744,0.759662905151122
"2","INSP - LATR","elevated","0",10.3188881594664,7.54148732810305,11.3287904599659,1.36828290104175,0.19774782883669
"3","INSP - LATR","ambient","20",8.78707127940646,6.60763742762136,10.2307692307692,1.32983556916646,0.212458920769366
"4","INSP - LATR","elevated","20",-3.61158976950065,7.54148732810305,11.328790459966,-0.478896219322972,0.641122587695538
