"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"plant",102.909447130633,102.909447130633,1,13.9999999998346,1.57134510501732,0.230541867671337
"treatment",127.007671374338,127.007671374338,1,13.9999999998346,1.93930575159321,0.18546714036739
"depth",190.022511418457,190.022511418457,1,13.9999999998346,2.90149205428592,0.110583450023004
"plant:treatment",5.75764009377565,5.75764009377565,1,13.9999999998346,0.0879145679047448,0.771198407685702
"plant:depth",17.3747088721067,17.3747088721067,1,13.9999999998346,0.265297934237554,0.614539510019247
"treatment:depth",33.2171549168103,33.2171549168103,1,13.9999999998346,0.507199438306909,0.488053284498343
"plant:treatment:depth",142.020425354975,142.020425354975,1,13.9999999998346,2.16853852018788,0.162983398413746
