"","treatment","plant","depth","emmean","SE","df","lower.CL","upper.CL"
"1","ambient","INSP","0",80.4818512930804,23.8875946517686,13.684500260324,29.1370175999233,131.826684986238
"2","elevated","INSP","0",59.2078109722215,30.2017075587246,13.9189392730865,-5.60381870419556,124.019440648639
"3","ambient","LATR","0",133.860172620318,23.8875946517686,13.684500260324,82.5153389271604,185.205006313475
"4","elevated","LATR","0",97.5121595852501,23.8875946517686,13.684500260324,46.1673258920929,148.856993278407
"5","ambient","INSP","20",42.3721816710471,23.8875946517686,13.6845002603241,-8.97265202210999,93.7170153642042
"6","elevated","INSP","20",37.0899720047296,30.2017075587245,13.9189392730865,-27.7216576716874,101.901601681147
"7","ambient","LATR","20",103.838126990979,23.8875946517686,13.684500260324,52.4932932978219,155.182960684136
"8","elevated","LATR","20",31.7500977530141,23.8875946517686,13.6845002603241,-19.5947359401429,83.0949314461712
