"","contrast","treatment","depth","estimate","SE","df","t.ratio","p.value"
"1","INSP - LATR","ambient","0",-0.0179080006278583,0.0166785780023117,10.2039964665326,-1.0737126765469,0.307686174126798
"2","INSP - LATR","elevated","0",-0.0163082288900041,0.0191041318942908,11.2898826967169,-0.853649303734017,0.411045760351368
"3","INSP - LATR","ambient","20",-0.0269589057053098,0.0166785780023117,10.2039964665326,-1.61637914824472,0.136474172689537
"4","INSP - LATR","elevated","20",0.000943293853792604,0.0191041318942908,11.2898826967169,0.0493764311831675,0.961482040944238
