"","contrast","treatment","depth","estimate","SE","df","t.ratio","p.value"
"1","INSP - LATR","ambient","0",-0.313621368526806,0.194048039041259,10.1668192071894,-1.61620478143623,0.136621485076131
"2","INSP - LATR","elevated","0",-0.225643299898337,0.223396843967095,11.2213099094847,-1.01005589824524,0.333752723482666
"3","INSP - LATR","ambient","20",-0.409987829207922,0.194048039041259,10.1668192071894,-2.11281614199024,0.0603084532294662
"4","INSP - LATR","elevated","20",0.0341305448505414,0.223396843967095,11.2213099094847,0.152779888222452,0.881284496544508
