"","contrast","plant","depth","estimate","SE","df","t.ratio","p.value"
"1","ambient - elevated","INSP","0",8.77501757184715,6.4116247354377,14,1.36861059933011,0.192682760739756
"2","ambient - elevated","LATR","0",2.42190932935426,5.61768385075275,14,0.431122397361278,0.672943650652922
"3","ambient - elevated","INSP","20",2.86860114146997,6.4116247354377,14,0.447406275294765,0.661426108941037
"4","ambient - elevated","LATR","20",9.99017799260422,5.61768385075275,14,1.77834464487808,0.0970631923503138
