"","contrast","plant","depth","estimate","SE","df","t.ratio","p.value"
"1","ambient - elevated","INSP","0",1.73537196407607,0.597975620373265,9.75935387039509,2.90207811982841,0.0161615837317659
"2","ambient - elevated","LATR","0",0.377498826333336,0.549735724099776,8.27922272180316,0.686691458794154,0.511049062492332
"3","ambient - elevated","INSP","20",0.295409390576063,0.597975620373265,9.75935387039507,0.494015776749668,0.632223982679478
"4","ambient - elevated","LATR","20",-0.970269630000001,0.549735724099776,8.27922272180316,-1.76497467321934,0.114300014502035
