"","contrast","treatment","depth","estimate","SE","df","t.ratio","p.value"
"1","INSP - LATR","ambient","0",-0.407332178884019,5.61768385075276,10.2307692307692,-0.0725089182135867,0.943594920898982
"2","INSP - LATR","elevated","0",-6.76044042137691,6.4116247354377,11.3287904599659,-1.05440363407597,0.313666996863633
"3","INSP - LATR","ambient","20",-5.15799424905415,5.61768385075275,10.2307692307692,-0.918170973320792,0.379666623882995
"4","INSP - LATR","elevated","20",1.9635826020801,6.4116247354377,11.328790459966,0.306253513438985,0.764966616561947
