"","treatment","plant","depth","emmean","SE","df","lower.CL","upper.CL"
"1","ambient","INSP","0",0.472866656659495,0.142689069504664,13.788258924833,0.166387542756256,0.779345770562733
"2","elevated","INSP","0",0.347283989246771,0.18058703994143,13.9459908460399,-0.0401774610236572,0.734745439517198
"3","ambient","LATR","0",0.786488025186301,0.142689069504663,13.7882589248331,0.480008911283063,1.09296713908954
"4","elevated","LATR","0",0.572927289145108,0.142689069504663,13.7882589248331,0.266448175241871,0.879406403048345
"5","ambient","INSP","20",0.282629327372974,0.142689069504663,13.788258924833,-0.0238497865302641,0.589108441276212
"6","elevated","INSP","20",0.245908848871459,0.18058703994143,13.9459908460399,-0.141552601398969,0.633370299141887
"7","ambient","LATR","20",0.692617156580896,0.142689069504663,13.7882589248331,0.386138042677659,0.999096270484134
"8","elevated","LATR","20",0.211778304020917,0.142689069504663,13.7882589248331,-0.0947008098823203,0.518257417924155
