"","contrast","treatment","depth","estimate","SE","df","t.ratio","p.value"
"1","INSP - LATR","ambient","0",0.407332178884041,5.61768385075275,10.2307692307692,0.072508918213591,0.943594920898979
"2","INSP - LATR","elevated","0",6.76044042137686,6.4116247354377,11.328790459966,1.05440363407596,0.313666996863637
"3","INSP - LATR","ambient","20",5.15799424905413,5.61768385075275,10.2307692307692,0.918170973320789,0.379666623882997
"4","INSP - LATR","elevated","20",-1.96358260208009,6.41162473543769,11.328790459966,-0.306253513438984,0.764966616561948
