"","contrast","treatment","depth","estimate","SE","df","t.ratio","p.value"
"1","INSP - LATR","ambient","0",-2.076297403676,6.60763742762136,10.2307692307693,-0.314226896741735,0.759662905151129
"2","INSP - LATR","elevated","0",-10.3188881594664,7.54148732810304,11.328790459966,-1.36828290104174,0.197747828836692
"3","INSP - LATR","ambient","20",-8.78707127940643,6.60763742762135,10.2307692307693,-1.32983556916646,0.212458920769367
"4","INSP - LATR","elevated","20",3.61158976950061,7.54148732810304,11.328790459966,0.478896219322967,0.641122587695541
