"","treatment","plant","depth","emmean","SE","df","lower.CL","upper.CL"
"1","ambient","INSP","0",6.88849940665824,1.98549313483448,13.91657313078,2.62764392051449,11.149354892802
"2","elevated","INSP","0",4.34586548211863,2.5155743881764,13.9788040854292,-1.05027258542148,9.74200354965873
"3","ambient","LATR","0",9.93643908096164,1.98549313483448,13.9165731307799,5.6755835948179,14.1972945671054
"4","elevated","LATR","0",7.10830140138734,1.98549313483448,13.9165731307799,2.84744591524359,11.3691568875311
"5","ambient","INSP","20",3.99558668726381,1.98549313483448,13.9165731307799,-0.265268798879935,8.25644217340756
"6","elevated","INSP","20",2.74318967130171,2.5155743881764,13.9788040854292,-2.65294839623838,8.1393277388418
"7","ambient","LATR","20",8.03730330887457,1.98549313483448,13.9165731307799,3.77644782273081,12.2981587950183
"8","elevated","LATR","20",2.58507197947016,1.98549313483448,13.91657313078,-1.67578350667359,6.84592746561391
