"","plant","treatment","depth","emmean","SE","df","lower.CL","upper.CL"
"1","INSP","ambient","0",-25.8466666666667,0.858476098661394,14.8465217535581,-27.6781140477715,-24.0152192855619
"2","LATR","ambient","0",-26.3166666666667,0.858476098661395,14.8465217535581,-28.1481140477715,-24.4852192855619
"3","INSP","elevated","0",-28.0660550871922,1.09197151108034,14.9827171464387,-30.393771127772,-25.7383390466125
"4","LATR","elevated","0",-27.32,0.858476098661395,14.8465217535581,-29.1514473811048,-25.4885526188952
"5","INSP","ambient","20",-25.6333333333333,0.858476098661395,14.8465217535581,-27.4647807144382,-23.8018859522285
"6","LATR","ambient","20",-24.4866666666667,0.858476098661395,14.846521753558,-26.3181140477715,-22.6552192855619
"7","INSP","elevated","20",-26.26,0.858476098661396,14.8465217535581,-28.0914473811048,-24.4285526188952
"8","LATR","elevated","20",-27.15,0.858476098661395,14.8465217535581,-28.9814473811048,-25.3185526188952
