"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"plant",31.0149030131803,31.0149030131803,1,11.6848543127937,2.75185598490466,0.123719600293814
"treatment",41.0036569508866,41.0036569508866,1,4.1195825877293,3.63812708797841,0.127063199740171
"depth",39.7339045080378,39.7339045080378,1,10.5906115081468,3.52546589868771,0.0882253262517353
"plant:treatment",6.63983127762298,6.63983127762298,1,11.6848543149127,0.589131600131684,0.457985053566032
"plant:depth",1.23748943737899,1.23748943737899,1,10.5906115049014,0.109798593052523,0.746837452121738
"treatment:depth",0.593057935394996,0.593057935394996,1,10.590611509892,0.0526201880501889,0.822934825429596
"plant:treatment:depth",5.10732790682789,5.10732790682789,1,10.590611501901,0.453157337338832,0.515260183903091
