"","contrast","treatment","depth","estimate","SE","df","t.ratio","p.value"
"1","INSP - LATR","ambient","0",0.46999999999996,1.17659605264168,11.0362722487192,0.399457399967238,0.697177963585578
"2","INSP - LATR","elevated","0",-0.746055087192203,1.35639184608658,12.0408668918066,-0.55002917434567,0.592356164760471
"3","INSP - LATR","ambient","20",-1.14666666666667,1.17659605264168,11.0362722487192,-0.974562734671931,0.350654625930651
"4","INSP - LATR","elevated","20",0.889999999999994,1.17659605264168,11.0362722487192,0.756419331852913,0.465238754324641
