"","treatment","plant","depth","emmean","SE","df","lower.CL","upper.CL"
"1","ambient","INSP","0",-22.7420948533333,0.686046611654994,13.9952459233019,-24.2135653870272,-21.2706243196394
"2","elevated","INSP","0",-23.726167553949,0.869402872721815,13.9987786267127,-25.5908665249896,-21.8614685829085
"3","ambient","LATR","0",-21.9077580366667,0.686046611654994,13.9952459233019,-23.3792285703606,-20.4362875029727
"4","elevated","LATR","0",-23.3272916066667,0.686046611654994,13.9952459233018,-24.7987621403606,-21.8558210729727
"5","ambient","INSP","20",-21.35739069,0.686046611654994,13.9952459233019,-22.8288612236939,-19.8859201563061
"6","elevated","INSP","20",-22.003558168949,0.869402872721816,13.9987786267126,-23.8682571399896,-20.1388591979085
"7","ambient","LATR","20",-20.1559331233333,0.686046611654994,13.9952459233019,-21.6274036570273,-18.6844625896394
"8","elevated","LATR","20",-22.3757881966667,0.686046611654994,13.9952459233019,-23.8472587303606,-20.9043176629727
