"","contrast","plant","depth","estimate","SE","df","t.ratio","p.value"
"1","ambient - elevated","INSP","0",1.38929385973692,0.981599161345645,15,1.41533725215533,0.177395674628951
"2","ambient - elevated","LATR","0",1.47304186822387,0.853910457669246,15,1.72505425480389,0.105054665123382
"3","ambient - elevated","INSP","20",0.215360672517585,0.853910457669246,14.9999999999999,0.252205217284038,0.80430553583791
"4","ambient - elevated","LATR","20",0.062464668169805,0.853910457669246,15,0.0731513094947949,0.942652259484366
