"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"plant",1.4144092561456,1.4144092561456,1,11.5887107880073,1.01305389347387,0.334726216815561
"treatment",8.87739210441887,8.87739210441887,1,3.86597912987138,6.35832705152344,0.0673889496132116
"depth",11.2545196535886,11.2545196535886,1,10.4262569985599,8.0609165308463,0.0169073802410436
"plant:treatment",1.34225915705184,1.34225915705184,1,11.588710798701,0.961377238726402,0.346866717292406
"plant:depth",0.0544013540060961,0.0544013540060961,1,10.4262570058542,0.0389643260935028,0.847314659008355
"treatment:depth",0.0712762725168078,0.0712762725168078,1,10.4262570092895,0.0510507868014289,0.825612659551563
"plant:treatment:depth",0.431853359168091,0.431853359168091,1,10.4262570112309,0.309309858525111,0.589839708971508
