"","treatment","plant","depth","emmean","SE","df","lower.CL","upper.CL"
"1","ambient","INSP","0",19.9165110959455,3.97230234542944,14,11.3967699050838,28.4362522868072
"2","elevated","INSP","0",11.1414935240984,5.0328665613716,13.9999999999999,0.347068321201897,21.9359187269948
"3","ambient","LATR","0",20.3238432748295,3.97230234542943,14,11.8041020839678,28.8435844656912
"4","elevated","LATR","0",17.9019339454753,3.97230234542943,13.9999999999999,9.38219275461356,26.421675136337
"5","ambient","INSP","20",15.7593149754312,3.97230234542943,13.9999999999999,7.2395737845695,24.2790561662929
"6","elevated","INSP","20",12.8907138339612,5.03286656137161,14,2.09628863106477,23.6851390368577
"7","ambient","LATR","20",20.9173092244854,3.97230234542943,14,12.3975680336236,29.4370504153471
"8","elevated","LATR","20",10.9271312318811,3.97230234542942,14.0000000000001,2.40739004101944,19.4468724227428
