"","treatment","depth","plant","emmean","SE","df","lower.CL","upper.CL"
"1","ambient","0","INSP",73.9759089872812,4.67230523269309,14.0000000000001,63.9548109223123,83.99700705225
"2","elevated","0","INSP",80.4815175614916,5.91976308077339,14,67.7848885102216,93.1781466127617
"3","ambient","20","INSP",80.8046781885655,4.6723052326931,14,70.7835801235966,90.8257762535344
"4","elevated","20","INSP",81.9809398736269,5.91976308077339,14,69.2843108223568,94.6775689248969
"5","ambient","0","LATR",71.8996115836051,4.6723052326931,14,61.8785135186363,81.920709648574
"6","elevated","0","LATR",70.1626294020252,4.6723052326931,14,60.1415313370563,80.183727466994
"7","ambient","20","LATR",72.017606909159,4.6723052326931,13.9999999999999,61.9965088441902,82.0387049741279
"8","elevated","20","LATR",85.5925296431275,4.67230523269311,13.9999999999999,75.5714315781587,95.6136277080964
