"","treatment","plant","depth","emmean","SE","df","lower.CL","upper.CL"
"1","ambient","INSP","0",0.0404729964767528,0.0119660743516601,13.9689303213556,0.0148029631157383,0.0661430298377674
"2","elevated","INSP","0",0.0254562020245096,0.0151650857776908,13.9920799195919,-0.00707139940602738,0.0579838034550467
"3","ambient","LATR","0",0.0583809971046111,0.0119660743516601,13.9689303213555,0.0327109637435966,0.0840510304656257
"4","elevated","LATR","0",0.0417644309145138,0.0119660743516601,13.9689303213555,0.0160943975534992,0.0674344642755283
"5","ambient","INSP","20",0.0266512115578275,0.0119660743516601,13.9689303213555,0.000981178196812951,0.0523212449188421
"6","elevated","INSP","20",0.018186143429971,0.0151650857776908,13.9920799195919,-0.014341458000566,0.0507137448605081
"7","ambient","LATR","20",0.0536101172631373,0.0119660743516601,13.9689303213555,0.0279400839021227,0.0792801506241519
"8","elevated","LATR","20",0.0172428495761784,0.0119660743516601,13.9689303213555,-0.00842718378483614,0.042912882937193
